ID,PAPER NAME,AUTHORS NAME,PAPER LINK
0,Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning,"Christoph Dann, Teodor Vanislavov Marinov, Mehryar Mohri, Julian Zimmert",/paper/2021/hash/000c076c390a4c357313fca29e390ece-Abstract.html
1,Learning One Representation to Optimize All Rewards,"Ahmed Touati, Yann Ollivier",/paper/2021/hash/003dd617c12d444ff9c80f717c3fa982-Abstract.html
2,Matrix factorisation and the interpretation of geodesic distance,"Nick Whiteley, Annie Gray, Patrick Rubin-Delanchy",/paper/2021/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html
3,UniDoc: Unified Pretraining Framework for Document Understanding,"Jiuxiang Gu, Jason Kuen, Vlad I Morariu, Handong Zhao, Rajiv Jain, Nikolaos Barmpalios, Ani Nenkova, Tong Sun",/paper/2021/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html
4,Finding Discriminative Filters for Specific Degradations in Blind Super-Resolution,"Liangbin Xie, Xintao Wang, Chao Dong, Zhongang Qi, Ying Shan",/paper/2021/hash/008bd5ad93b754d500338c253d9c1770-Abstract.html
5,Counterfactual Explanations Can Be Manipulated,"Dylan Slack, Anna Hilgard, Himabindu Lakkaraju, Sameer Singh",/paper/2021/hash/009c434cab57de48a31f6b669e7ba266-Abstract.html
6,From Canonical Correlation Analysis to Self-supervised Graph Neural Networks,"Hengrui Zhang, Qitian Wu, Junchi Yan, David Wipf, Philip S Yu",/paper/2021/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
7,BAST: Bayesian Additive Regression Spanning Trees for Complex Constrained Domain,"Zhao Tang Luo, Huiyan Sang, Bani Mallick",/paper/2021/hash/00b76fddeaaa7d8c2c43d504b2babd8a-Abstract.html
8,Hyperbolic Busemann Learning with Ideal Prototypes,"Mina Ghadimi Atigh, Martin Keller-Ressel, Pascal Mettes",/paper/2021/hash/01259a0cb2431834302abe2df60a1327-Abstract.html
9,Backward-Compatible Prediction Updates: A Probabilistic Approach,"Frederik Träuble, Julius von Kügelgen, Matthäus Kleindessner, Francesco Locatello, Bernhard Schölkopf, Peter Gehler",/paper/2021/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html
10,Truncated Marginal Neural Ratio Estimation,"Benjamin K Miller, Alex Cole, Patrick Forré, Gilles Louppe, Christoph Weniger",/paper/2021/hash/01632f7b7a127233fa1188bd6c2e42e1-Abstract.html
11,ReAct: Out-of-distribution Detection With Rectified Activations,"Yiyou Sun, Chuan Guo, Yixuan Li",/paper/2021/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html
12,Non-local Latent Relation Distillation for Self-Adaptive 3D Human Pose Estimation,"Jogendra Nath Kundu, Siddharth Seth, Anirudh Jamkhandi, Pradyumna YM, Varun Jampani, Anirban Chakraborty, Venkatesh Babu R",/paper/2021/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
13,Fast Training of Neural Lumigraph Representations using Meta Learning,"Alexander Bergman, Petr Kellnhofer, Gordon Wetzstein",/paper/2021/hash/01931a6925d3de09e5f87419d9d55055-Abstract.html
14,Analytical Study of Momentum-Based Acceleration Methods in Paradigmatic High-Dimensional Non-Convex Problems,"Stefano Sarao Mannelli, Pierfrancesco Urbani",/paper/2021/hash/019f8b946a256d9357eadc5ace2c8678-Abstract.html
15,Multimodal Few-Shot Learning with Frozen Language Models,"Maria Tsimpoukelli, Jacob L Menick, Serkan Cabi, S. M. Ali Eslami, Oriol Vinyals, Felix Hill",/paper/2021/hash/01b7575c38dac42f3cfb7d500438b875-Abstract.html
16,Approximating the Permanent with Deep Rejection Sampling,"Juha Harviainen, Antti Röyskö, Mikko Koivisto",/paper/2021/hash/01d8bae291b1e4724443375634ccfa0e-Abstract.html
17,Revisiting Model Stitching to Compare Neural Representations,"Yamini Bansal, Preetum Nakkiran, Boaz Barak",/paper/2021/hash/01ded4259d101feb739b06c399e9cd9c-Abstract.html
18,AugMax: Adversarial Composition of Random Augmentations for Robust Training,"Haotao Wang, Chaowei Xiao, Jean Kossaifi, Zhiding Yu, Anima Anandkumar, Zhangyang Wang",/paper/2021/hash/01e9565cecc4e989123f9620c1d09c09-Abstract.html
19,Habitat 2.0: Training Home Assistants to Rearrange their Habitat,"Andrew Szot, Alexander Clegg, Eric Undersander, Erik Wijmans, Yili Zhao, John Turner, Noah Maestre, Mustafa Mukadam, Devendra Singh Chaplot, Oleksandr Maksymets, Aaron Gokaslan, Vladimír Vondruš, Sameer Dharur, Franziska Meier, Wojciech Galuba, Angel Chang, Zsolt Kira, Vladlen Koltun, Jitendra Malik, Manolis Savva, Dhruv Batra",/paper/2021/hash/021bbc7ee20b71134d53e20206bd6feb-Abstract.html
20,Time Discretization-Invariant Safe Action Repetition for Policy Gradient Methods,"Seohong Park, Jaekyeom Kim, Gunhee Kim",/paper/2021/hash/024677efb8e4aee2eaeef17b54695bbe-Abstract.html
21,Meta-Learning Reliable Priors in the Function Space,"Jonas Rothfuss, Dominique Heyn, jinfan Chen, Andreas Krause",/paper/2021/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html
22,VoiceMixer: Adversarial Voice Style Mixup,"Sang-Hoon Lee, Ji-Hoon Kim, Hyunseung Chung, Seong-Whan Lee",/paper/2021/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
23,Predicting What You Already Know Helps: Provable Self-Supervised Learning,"Jason D. Lee, Qi Lei, Nikunj Saunshi, JIACHENG ZHUO",/paper/2021/hash/02e656adee09f8394b402d9958389b7d-Abstract.html
24,Oracle Complexity in Nonsmooth Nonconvex Optimization,"Guy Kornowski, Ohad Shamir",/paper/2021/hash/030e65da2b1c944090548d36b244b28d-Abstract.html
25,CentripetalText: An Efficient Text Instance Representation for Scene Text Detection,"Tao Sheng, Jie Chen, Zhouhui Lian",/paper/2021/hash/03227b950778ab86436ff79fe975b596-Abstract.html
26,Learning to Select Exogenous Events for Marked Temporal Point Process,"Ping Zhang, Rishabh Iyer, Ashish Tendulkar, Gaurav Aggarwal, Abir De",/paper/2021/hash/032abcd424b4312e7087f434ef1c0094-Abstract.html
27,DRIVE: One-bit Distributed Mean Estimation,"Shay Vargaftik, Ran Ben-Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher",/paper/2021/hash/0397758f8990c1b41b81b43ac389ab9f-Abstract.html
28,Learning Space Partitions for Path Planning,"Kevin Yang, Tianjun Zhang, Chris Cummins, Brandon Cui, Benoit Steiner, Linnan Wang, Joseph E. Gonzalez, Dan Klein, Yuandong Tian",/paper/2021/hash/03a3655fff3e9bdea48de9f49e938e32-Abstract.html
29,Progressive Feature Interaction Search for Deep Sparse Network,"Chen Gao, Yinfeng Li, Quanming Yao, Depeng Jin, Yong Li",/paper/2021/hash/03b2ceb73723f8b53cd533e4fba898ee-Abstract.html
30,Local Explanation of Dialogue Response Generation,"Yi-Lin Tuan, Connor Pryor, Wenhu Chen, Lise Getoor, William Yang Wang",/paper/2021/hash/03b92cd507ff5870df0db7f074728830-Abstract.html
31,Scalable Inference in SDEs by Direct Matching of the Fokker–Planck–Kolmogorov Equation,"Arno Solin, Ella Tamir, Prakhar Verma",/paper/2021/hash/03e4d3f831100d4355663f3d425d716b-Abstract.html
32,The Complexity of Bayesian Network Learning: Revisiting the Superstructure,"Robert Ganian, Viktoriia Korchemna",/paper/2021/hash/040a99f23e8960763e680041c601acab-Abstract.html
33,Fast Tucker Rank Reduction for Non-Negative Tensors Using Mean-Field Approximation,"Kazu Ghalamkari, Mahito Sugiyama",/paper/2021/hash/040ca38cefb1d9226d79c05dd25469cb-Abstract.html
34,Learning Stochastic Majority Votes by Minimizing a PAC-Bayes Generalization Bound,"Valentina Zantedeschi, Paul Viallard, Emilie Morvant, Rémi Emonet, Amaury Habrard, Pascal Germain, Benjamin Guedj",/paper/2021/hash/0415740eaa4d9decbc8da001d3fd805f-Abstract.html
35,Numerical influence of ReLU’(0) on backpropagation,"David Bertoin, Jérôme Bolte, Sébastien Gerchinovitz, Edouard Pauwels",/paper/2021/hash/043ab21fc5a1607b381ac3896176dac6-Abstract.html
36,A Contrastive Learning Approach for Training Variational Autoencoder Priors,"Jyoti Aneja, Alex Schwing, Jan Kautz, Arash Vahdat",/paper/2021/hash/0496604c1d80f66fbeb963c12e570a26-Abstract.html
37,What training reveals about neural network complexity,"Andreas Loukas, Marinos Poiitis, Stefanie Jegelka",/paper/2021/hash/04a1bf2d968f1ce381cf1f9184a807a9-Abstract.html
38,Class-agnostic Reconstruction of Dynamic Objects from Videos,"Zhongzheng Ren, Xiaoming Zhao, Alex Schwing",/paper/2021/hash/04da4aea8e38ac933ab23cb2389dddef-Abstract.html
39,Unique sparse decomposition of low rank matrices,"Dian Jin, Xin Bing, Yuqian Zhang",/paper/2021/hash/051928341be67dcba03f0e04104d9047-Abstract.html
40,Neighborhood Reconstructing Autoencoders,"Yonghyeon LEE, Hyeokjun Kwon, Frank Park",/paper/2021/hash/05311655a15b75fab86956663e1819cd-Abstract.html
41,TopicNet: Semantic Graph-Guided Topic Discovery,"Zhibin Duan, Yi.shi Xu, Bo Chen, dongsheng wang, Chaojie Wang, Mingyuan Zhou",/paper/2021/hash/0537fb40a68c18da59a35c2bfe1ca554-Abstract.html
42,(Almost) Free Incentivized Exploration from Decentralized Learning Agents,"Chengshuai Shi, Haifeng Xu, Wei Xiong, Cong Shen",/paper/2021/hash/054ab897023645cd7ad69525c46992a0-Abstract.html
43,"Combining Recurrent, Convolutional, and Continuous-time Models with Linear State Space Layers","Albert Gu, Isys Johnson, Karan Goel, Khaled Saab, Tri Dao, Atri Rudra, Christopher Ré",/paper/2021/hash/05546b0e38ab9175cd905eebcc6ebb76-Abstract.html
44,Revisiting Hilbert-Schmidt Information Bottleneck for Adversarial Robustness,"Zifeng Wang, Tong Jian, Aria Masoomi, Stratis Ioannidis, Jennifer Dy",/paper/2021/hash/055e31fa43e652cb4ab6c0ee845c8d36-Abstract.html
45,T-LoHo: A Bayesian Regularization Model for Structured Sparsity and Smoothness on Graphs,"Changwoo Lee, Zhao Tang Luo, Huiyan Sang",/paper/2021/hash/05a70454516ecd9194c293b0e415777f-Abstract.html
46,The Utility of Explainable AI in Ad Hoc Human-Machine Teaming,"Rohan Paleja, Muyleng Ghuy, Nadun Ranawaka Arachchige, Reed Jensen, Matthew Gombolay",/paper/2021/hash/05d74c48b5b30514d8e9bd60320fc8f6-Abstract.html
47,Subgoal Search For Complex Reasoning Tasks,"Konrad Czechowski, Tomasz Odrzygóźdź, Marek Zbysiński, Michał Zawalski, Krzysztof Olejnik, Yuhuai Wu, Łukasz Kuciński, Piotr Miłoś",/paper/2021/hash/05d8cccb5f47e5072f0a05b5f514941a-Abstract.html
48,MCMC Variational Inference via Uncorrected Hamiltonian Annealing,"Tomas Geffner, Justin Domke",/paper/2021/hash/05f971b5ec196b8c65b75d2ef8267331-Abstract.html
49,Landmark-RxR: Solving Vision-and-Language Navigation with Fine-Grained Alignment Supervision,"Keji He, Yan Huang, Qi Wu, Jianhua Yang, Dong An, Shuanglin Sima, Liang Wang",/paper/2021/hash/0602940f23884f782058efac46f64b0f-Abstract.html
50,A Winning Hand: Compressing Deep Networks Can Improve Out-of-Distribution Robustness,"James Diffenderfer, Brian Bartoldson, Shreya Chaganti, Jize Zhang, Bhavya Kailkhura",/paper/2021/hash/0607f4c705595b911a4f3e7a127b44e0-Abstract.html
51,On the Importance of Gradients for Detecting Distributional Shifts in the Wild,"Rui Huang, Andrew Geng, Yixuan Li",/paper/2021/hash/063e26c670d07bb7c4d30e6fc69fe056-Abstract.html
52,Iterative Methods for Private Synthetic Data: Unifying Framework and New Methods,"Terrance Liu, Giuseppe Vietri, Steven Z. Wu",/paper/2021/hash/0678c572b0d5597d2d4a6b5bd135754c-Abstract.html
53,Understanding End-to-End Model-Based Reinforcement Learning Methods as Implicit Parameterization,"Clement Gehring, Kenji Kawaguchi, Jiaoyang Huang, Leslie Kaelbling",/paper/2021/hash/067a26d87265ea39030f5bd82408ce7c-Abstract.html
54,Mirror Langevin Monte Carlo: the Case Under Isoperimetry,Qijia Jiang,/paper/2021/hash/069090145d54bf4aa3894133f7e89873-Abstract.html
55,Do Different Tracking Tasks Require Different Appearance Models?,"Zhongdao Wang, Hengshuang Zhao, Ya-Li Li, Shengjin Wang, Philip Torr, Luca Bertinetto",/paper/2021/hash/06997f04a7db92466a2baa6ebc8b872d-Abstract.html
56,Towards robust vision by multi-task learning on monkey visual cortex,"Shahd Safarani, Arne Nix, Konstantin Willeke, Santiago Cadena, Kelli Restivo, George Denfield, Andreas Tolias, Fabian Sinz",/paper/2021/hash/06a9d51e04213572ef0720dd27a84792-Abstract.html
57,Arbitrary Conditional Distributions with Energy,"Ryan Strauss, Junier B. Oliva",/paper/2021/hash/06c284d3f757b15c02f47f3ff06dc275-Abstract.html
58,Learning Domain Invariant Representations in Goal-conditioned Block MDPs,"Beining Han, Chongyi Zheng, Harris Chan, Keiran Paster, Michael Zhang, Jimmy Ba",/paper/2021/hash/06d172404821f7d01060cc9629171b2e-Abstract.html
59,Near-Optimal Multi-Perturbation Experimental Design for Causal Structure Learning,"Scott Sussex, Caroline Uhler, Andreas Krause",/paper/2021/hash/06d5ae105ea1bea4d800bc96491876e9-Abstract.html
60,Fuzzy Clustering with Similarity Queries,"Wasim Huleihel, Arya Mazumdar, Soumyabrata Pal",/paper/2021/hash/06f2e099b4f87109d52e15d7c05f0084-Abstract.html
61,Improving black-box optimization in VAE latent space using decoder uncertainty,"Pascal Notin, José Miguel Hernández-Lobato, Yarin Gal",/paper/2021/hash/06fe1c234519f6812fc4c1baae25d6af-Abstract.html
62,Sample Selection for Fair and Robust Training,"Yuji Roh, Kangwook Lee, Steven Whang, Changho Suh",/paper/2021/hash/07563a3fe3bbe7e3ba84431ad9d055af-Abstract.html
